cluster	sex	agegp	population
2	1	1	71
2	1	2	205
2	1	3	170
2	1	4	59
2	1	5	47
2	2	1	81
2	2	2	224
2	2	3	122
2	2	4	44
2	2	5	35
2	2	99	2
2	99	2	2
2	99	3	8
2	99	4	4
2	99	5	1
3	1	1	74
3	1	2	298
3	1	3	162
3	1	4	55
3	1	5	49
3	2	1	89
3	2	2	288
3	2	3	100
3	2	4	33
3	2	5	27
3	2	99	2
3	99	1	9
3	99	2	13
3	99	3	7
3	99	4	2
3	99	5	1
8	1	1	94
8	1	2	266
8	1	3	193
8	1	4	72
8	1	5	52
8	2	1	89
8	2	2	262
8	2	3	143
8	2	4	43
8	2	5	50
8	2	99	2
8	99	1	1
8	99	2	1
8	99	3	1
8	99	4	1
8	99	5	1
8	99	99	3
9	1	1	101
9	1	2	251
9	1	3	179
9	1	4	83
9	1	5	72
9	1	99	5
9	2	1	124
9	2	2	264
9	2	3	152
9	2	4	56
9	2	5	47
9	2	99	2
9	99	2	3
9	99	3	1
9	99	4	2
9	99	99	4
10	1	1	108
10	1	2	296
10	1	3	190
10	1	4	81
10	1	5	55
10	2	1	113
10	2	2	252
10	2	3	155
10	2	4	64
10	2	5	50
10	2	99	1
10	99	1	11
10	99	2	18
10	99	3	13
10	99	4	4
10	99	5	4
10	99	99	1
14	1	1	79
14	1	2	248
14	1	3	175
14	1	4	81
14	1	5	54
14	1	99	1
14	2	1	67
14	2	2	257
14	2	3	143
14	2	4	42
14	2	5	27
14	99	1	4
14	99	3	1
14	99	99	2
15	1	1	72
15	1	2	268
15	1	3	201
15	1	4	60
15	1	5	50
15	2	1	99
15	2	2	302
15	2	3	129
15	2	4	43
15	2	5	30
15	99	1	2
15	99	2	1
15	99	3	1
15	99	99	1
18	1	1	77
18	1	2	249
18	1	3	208
18	1	4	74
18	1	5	50
18	2	1	89
18	2	2	299
18	2	3	146
18	2	4	46
18	2	5	28
18	99	1	4
18	99	2	1
18	99	3	2
18	99	99	3
19	1	1	92
19	1	2	231
19	1	3	206
19	1	4	80
19	1	5	50
19	2	1	109
19	2	2	258
19	2	3	158
19	2	4	55
19	2	5	28
19	99	2	1
19	99	3	2
21	1	1	85
21	1	2	223
21	1	3	169
21	1	4	44
21	1	5	50
21	2	1	95
21	2	2	239
21	2	3	122
21	2	4	32
21	2	5	37
21	99	4	1
21	99	99	1
22	1	1	75
22	1	2	193
22	1	3	133
22	1	4	57
22	1	5	46
22	2	1	67
22	2	2	200
22	2	3	109
22	2	4	37
22	2	5	23
22	99	1	1
22	99	2	1
22	99	3	1
22	99	4	2
22	99	5	1
22	99	99	3
25	1	1	71
25	1	2	161
25	1	3	140
25	1	4	56
25	1	5	36
25	1	99	1
25	2	1	79
25	2	2	179
25	2	3	125
25	2	4	34
25	2	5	32
25	2	99	1
25	99	1	2
25	99	2	2
25	99	3	3
25	99	99	1
26	1	1	92
26	1	2	206
26	1	3	171
26	1	4	54
26	1	5	53
26	1	99	1
26	2	1	104
26	2	2	239
26	2	3	144
26	2	4	42
26	2	5	53
26	99	1	2
26	99	2	8
26	99	3	5
26	99	4	1
26	99	5	4
26	99	99	2
28	1	1	105
28	1	2	231
28	1	3	165
28	1	4	70
28	1	5	69
28	2	1	101
28	2	2	224
28	2	3	124
28	2	4	56
28	2	5	43
28	2	99	1
28	99	1	1
28	99	2	4
28	99	3	1
28	99	4	3
28	99	5	3
28	99	99	2
